request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_265,17914.3,affordable_with_plan,full_payment,2024-03-06:45970,,stop:event_24384|stop:event_24385,"Stop the grocery delivery membership and Stop the community fitness plan, then pay INR 45970 today. This leaves at least INR 189700 available."
request_266,826.89,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1754.53,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1500 available."
request_268,1164.76,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1400 available."
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 15490 request. None of the available options keeps the ZAR 23100 minimum protected.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_270,251.03,not_affordable,not_recommended,none,,none,Do not proceed with the USD 3028.8 request. None of the available options keeps the USD 1400 minimum protected.
request_271,27683.68,affordable_later,wait,2024-09-15:91300,2024-09-15,none,Pay INR 91300 in full on 2024-09-15. Paying earlier would take the balance below the INR 58200 minimum.
request_272,6287752.92,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This leaves at least IDR 7508600 available."
request_273,10965769.6,affordable_with_plan,partial_payment,2026-04-07:10965769.6|2026-04-15:4895230.4,2026-04-15,none,Pay IDR 10965769.6 today and the remaining IDR 4895230.4 on 2026-04-15. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2449.09,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
request_28,341.93,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Pay EUR 1302.4 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1100 minimum.
request_29,4994.61,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51524 request. None of the available options keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,5230798.9,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18164000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,16157.84,affordable_later,wait,2025-04-15:40018,2025-04-15,none,Pay ZAR 40018 in full on 2025-04-15. Paying earlier would take the balance below the ZAR 35700 minimum.
request_33,32966.98,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,42308.54,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106400 minimum.
request_36,948.48,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2400 minimum.
request_37,5542523.64,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,Pay IDR 14649000 in full on 2024-03-15. Paying earlier would take the balance below the IDR 17056200 minimum.
request_38,227.92,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.3 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,75449.99,affordable_later,wait,2026-06-15:208600,2026-06-15,none,Pay INR 208600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,449.93,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,Pay EUR 1290.3 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1500 minimum.
request_41,11920809.17,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38760000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This leaves at least INR 113100 available over the next 90 days.
request_43,10137805.25,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Pay IDR 43339000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,36211.43,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Pay INR 95800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82900 minimum.
request_45,5387181.53,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11149800 minimum.
request_46,46533.94,affordable_with_plan,partial_payment,2024-12-03:46533.94|2024-12-15:2916.06,2024-12-15,none,Pay INR 46533.94 today and the remaining INR 2916.06 on 2024-12-15. This completes the full request and keeps the INR 84000 minimum protected.
request_47,27879414.68,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 38114000 request. None of the available options keeps the IDR 30049000 minimum protected.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,13862854.91,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This leaves at least IDR 20275700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,22501.53,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41500 minimum.
request_53,608.57,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2100 available."
request_54,7140.08,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 121528 request. None of the available options keeps the ZAR 37000 minimum protected.
request_55,150477.11,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This leaves at least INR 124300 available."
request_56,804.47,affordable_with_plan,partial_payment,2025-02-03:804.47|2025-02-15:77.09,2025-02-15,none,Pay USD 804.47 today and the remaining USD 77.09 on 2025-02-15. This completes the full request and keeps the USD 2100 minimum protected.
request_57,15243.27,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Pay ZAR 61446 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42700 minimum.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 132600 available."
request_60,146.07,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,47896.08,not_affordable,not_recommended,none,,none,Do not proceed with the INR 343900 request. None of the available options keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 63700 request. None of the available options keeps the INR 36100 minimum protected.
request_65,7558.74,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 54340 request. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,498.42,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Pay USD 2094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1408.94,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,62624.83,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115000 minimum.
request_71,1879373.58,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21451000 request. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,12283.33,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 28270 request. None of the available options keeps the ZAR 39000 minimum protected.
request_76,938.68,not_affordable,not_recommended,none,2024-08-15,none,Do not proceed with the USD 4455.6 request. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This leaves at least INR 55200 available over the next 90 days.
request_79,422.45,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2151.6 request. None of the available options keeps the EUR 1000 minimum protected.
request_80,117056.29,not_affordable,not_recommended,none,,none,Do not proceed with the INR 217500 request. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,458.3,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,Pay USD 1405.2 in full on 2024-12-15. Paying earlier would take the balance below the USD 1100 minimum.
request_83,10841.75,not_affordable,not_recommended,none,,none,Do not proceed with the INR 156200 request. None of the available options keeps the INR 37800 minimum protected.
request_84,34450.56,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Pay INR 95400 in full on 2026-06-15. Paying earlier would take the balance below the INR 91300 minimum.
request_85,819716.98,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 19304000 request. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,34623.48,not_affordable,not_recommended,none,,none,Do not proceed with the INR 487900 request. None of the available options keeps the INR 185900 minimum protected.
request_88,12247.64,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This leaves at least ZAR 25800 available."
request_89,9872407.06,not_affordable,not_recommended,none,2026-01-15,none,Do not proceed with the IDR 13756000 request. None of the available options keeps the IDR 12534700 minimum protected.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,666.07,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,Pay EUR 1927.2 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,28502.29,not_affordable,not_recommended,none,,none,Do not proceed with the INR 553000 request. None of the available options keeps the INR 145500 minimum protected.
request_96,80501.22,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This leaves at least INR 56500 available."
request_97,3386.95,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 29700 available."
request_98,8969.69,affordable_later,wait,2025-10-15:27148,2025-10-15,none,Pay ZAR 27148 in full on 2025-10-15. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days.
